County Name,State,5/26/2020,5/27/2020,5/28/2020,
Adams County,IA,5,6,7,1
Allamakee County,IA,118,118,118,0
Appanoose County,IA,13,13,13,0
Audubon County,IA,12,12,12,0
Benton County,IA,37,39,39,2
Black Hawk County,IA,1699,1699,1713,0
Boone County,IA,55,56,56,1
Bremer County,IA,67,67,67,0
Buchanan County,IA,31,31,31,0
Buena Vista County,IA,237,311,311,74
Butler County,IA,15,15,15,0
Calhoun County,IA,2,2,2,0
Carroll County,IA,9,9,9,0
Cass County,IA,11,11,11,0
Cedar County,IA,45,45,45,0
Cerro Gordo County,IA,22,22,24,0
Cherokee County,IA,18,21,21,3
Chickasaw County,IA,8,8,8,0
Clarke County,IA,34,38,40,4
Clay County,IA,10,13,13,3
Clayton County,IA,30,31,31,1
Clinton County,IA,60,60,60,0
Crawford County,IA,485,485,485,0
Dallas County,IA,853,853,853,0
Davis County,IA,20,20,20,0
Decatur County,IA,0,0,0,0
Delaware County,IA,15,15,15,0
Des Moines County,IA,56,57,58,1
Dickinson County,IA,9,11,11,2
Dubuque County,IA,325,325,330,0
Emmet County,IA,7,8,10,1
Fayette County,IA,25,25,25,0
Floyd County,IA,18,18,18,0
Franklin County,IA,8,8,10,0
Fremont County,IA,4,4,4,0
Greene County,IA,12,12,12,0
Grundy County,IA,19,19,19,0
Guthrie County,IA,42,46,46,4
Hamilton County,IA,24,24,29,0
Hancock County,IA,13,14,15,1
Hardin County,IA,13,15,15,2
Harrison County,IA,19,19,19,0
Henry County,IA,64,65,65,1
Howard County,IA,12,12,12,0
Humboldt County,IA,13,13,15,0
Ida County,IA,13,14,14,1
Iowa County,IA,33,33,34,0
Jackson County,IA,11,11,11,0
Jasper County,IA,256,256,256,0
Jefferson County,IA,18,19,19,1
Johnson County,IA,604,604,604,0
Jones County,IA,36,36,36,0
Keokuk County,IA,14,14,14,0
Kossuth County,IA,8,8,9,0
Lee County,IA,22,22,24,0
Linn County,IA,929,945,945,16
Louisa County,IA,339,339,339,0
Lucas County,IA,6,7,7,1
Lyon County,IA,19,19,19,0
Madison County,IA,25,26,26,1
Mahaska County,IA,84,84,88,0
Marion County,IA,30,30,30,0
Marshall County,IA,872,878,883,6
Mills County,IA,16,16,16,0
Mitchell County,IA,4,5,5,1
Monona County,IA,24,24,24,0
Monroe County,IA,33,35,35,2
Montgomery County,IA,6,6,6,0
Muscatine County,IA,545,545,545,0
O'Brien County,IA,24,27,27,3
Osceola County,IA,32,32,32,0
Page County,IA,10,10,11,0
Palo Alto County,IA,3,3,3,0
Plymouth County,IA,118,118,120,0
Pocahontas County,IA,4,5,5,1
Polk County,IA,3827,3827,3961,0
Pottawattamie County,IA,216,220,226,4
Poweshiek County,IA,88,88,89,0
Ringgold County,IA,4,4,4,0
Sac County,IA,13,17,17,4
Scott County,IA,339,339,347,0
Shelby County,IA,32,33,34,1
Sioux County,IA,203,210,210,7
Story County,IA,96,96,97,0
Tama County,IA,399,399,399,0
Taylor County,IA,36,43,48,7
Union County,IA,6,6,6,0
Van Buren County,IA,9,9,9,0
Wapello County,IA,517,523,549,6
Warren County,IA,111,113,115,2
Washington County,IA,185,185,185,0
Wayne County,IA,1,1,1,0
Webster County,IA,27,29,30,2
Winnebago County,IA,10,11,11,1
Winneshiek County,IA,23,23,23,0
Woodbury County,IA,2619,2674,2674,55
Worth County,IA,3,3,3,0
Wright County,IA,124,124,141,0
Allen County,KS,0,0,0,0
Anderson County,KS,1,1,1,0
Atchison County,KS,19,19,19,0
Barber County,KS,1,1,1,0
Barton County,KS,37,37,37,0
Bourbon County,KS,7,8,8,1
Brown County,KS,6,6,6,0
Butler County,KS,29,30,30,1
Chase County,KS,4,4,4,0
Chautauqua County,KS,4,4,4,0
Cherokee County,KS,9,9,9,0
Cheyenne County,KS,2,2,2,0
Clark County,KS,30,30,30,0
Clay County,KS,5,5,5,0
Cloud County,KS,4,4,4,0
Coffey County,KS,51,51,51,0
Comanche County,KS,1,1,1,0
Cowley County,KS,4,4,4,0
Crawford County,KS,6,6,6,0
Decatur County,KS,0,0,0,0
Dickinson County,KS,3,3,3,0
Doniphan County,KS,12,12,12,0
Douglas County,KS,63,63,65,0
Edwards County,KS,5,5,5,0
Elk County,KS,0,0,0,0
Ellis County,KS,9,9,9,0
Ellsworth County,KS,2,2,2,0
Finney County,KS,1436,1436,1481,0
Ford County,KS,1611,1611,1611,0
Franklin County,KS,33,34,34,1
Geary County,KS,16,16,16,0
Gove County,KS,1,1,1,0
Graham County,KS,0,0,0,0
Grant County,KS,17,17,17,0
Gray County,KS,22,22,22,0
Greeley County,KS,0,0,0,0
Greenwood County,KS,3,3,3,0
Hamilton County,KS,12,15,15,3
Harper County,KS,1,1,1,0
Harvey County,KS,13,13,13,0
Haskell County,KS,18,18,18,0
Hodgeman County,KS,1,1,1,0
Jackson County,KS,90,90,90,0
Jefferson County,KS,22,22,22,0
Jewell County,KS,4,4,4,0
Johnson County,KS,767,787,787,20
Kearny County,KS,40,44,44,4
Kingman County,KS,0,0,0,0
Kiowa County,KS,2,2,2,0
Labette County,KS,23,23,23,0
Lane County,KS,1,2,2,1
Leavenworth County,KS,1060,1060,1060,0
Lincoln County,KS,0,0,0,0
Linn County,KS,7,8,8,1
Logan County,KS,0,0,0,0
Lyon County,KS,380,386,386,6
McPherson County,KS,27,27,27,0
Marion County,KS,7,7,7,0
Marshall County,KS,0,0,0,0
Meade County,KS,24,25,25,1
Miami County,KS,7,7,7,0
Mitchell County,KS,3,3,3,0
Montgomery County,KS,19,19,19,0
Morris County,KS,4,4,4,0
Morton County,KS,4,4,4,0
Nemaha County,KS,13,13,13,0
Neosho County,KS,2,2,2,0
Ness County,KS,1,1,1,0
Norton County,KS,2,2,2,0
Osage County,KS,7,7,7,0
Osborne County,KS,2,2,2,0
Ottawa County,KS,4,4,4,0
Pawnee County,KS,0,0,0,0
Phillips County,KS,2,2,2,0
Pottawatomie County,KS,25,25,25,0
Pratt County,KS,1,1,1,0
Rawlins County,KS,0,0,0,0
Reno County,KS,50,50,50,0
Republic County,KS,4,4,4,0
Rice County,KS,4,4,4,0
Riley County,KS,62,62,62,0
Rooks County,KS,7,7,7,0
Rush County,KS,0,0,0,0
Russell County,KS,0,0,0,0
Saline County,KS,28,28,28,0
Scott County,KS,13,13,13,0
Sedgwick County,KS,559,562,572,3
Seward County,KS,833,837,848,4
Shawnee County,KS,267,273,273,6
Sheridan County,KS,2,2,2,0
Sherman County,KS,6,6,6,0
Smith County,KS,2,2,2,0
Stafford County,KS,1,1,1,0
Stanton County,KS,8,9,9,1
Stevens County,KS,27,27,27,0
Sumner County,KS,6,6,6,0
Thomas County,KS,0,0,0,0
Trego County,KS,1,1,1,0
Wabaunsee County,KS,30,31,31,1
Wallace County,KS,0,0,0,0
Washington County,KS,0,0,0,0
Wichita County,KS,0,0,0,0
Wilson County,KS,1,1,1,0
Woodson County,KS,6,6,6,0
Wyandotte County,KS,1309,1317,1317,8
Adair County,KY,95,95,95,0
Allen County,KY,55,55,55,0
Anderson County,KY,15,15,16,0
Ballard County,KY,10,10,10,0
Barren County,KY,43,44,44,1
Bath County,KY,8,8,8,0
Bell County,KY,1,1,1,0
Boone County,KY,394,395,419,1
Bourbon County,KY,9,10,10,1
Boyd County,KY,39,39,39,0
Boyle County,KY,22,23,23,1
Bracken County,KY,11,11,11,0
Breathitt County,KY,3,3,3,0
Breckinridge County,KY,16,17,17,1
Bullitt County,KY,105,109,109,4
Butler County,KY,227,227,227,0
Caldwell County,KY,12,12,12,0
Calloway County,KY,48,48,48,0
Campbell County,KY,151,151,152,0
Carlisle County,KY,5,5,5,0
Carroll County,KY,7,7,10,0
Carter County,KY,9,9,9,0
Casey County,KY,2,2,2,0
Christian County,KY,101,101,111,0
Clark County,KY,38,38,38,0
Clay County,KY,5,5,5,0
Clinton County,KY,3,3,3,0
Crittenden County,KY,5,5,5,0
Cumberland County,KY,5,5,5,0
Daviess County,KY,308,308,308,0
Edmonson County,KY,56,56,56,0
Elliott County,KY,1,1,1,0
Estill County,KY,0,0,0,0
Fayette County,KY,652,652,655,0
Fleming County,KY,3,3,3,0
Floyd County,KY,16,16,16,0
Franklin County,KY,25,25,28,0
Fulton County,KY,3,4,4,1
Gallatin County,KY,8,11,11,3
Garrard County,KY,5,5,5,0
Grant County,KY,39,39,39,0
Graves County,KY,157,158,158,1
Grayson County,KY,123,123,123,0
Green County,KY,1,1,1,0
Greenup County,KY,13,14,14,1
Hancock County,KY,7,7,7,0
Hardin County,KY,97,98,99,1
Harlan County,KY,1,1,1,0
Harrison County,KY,18,18,18,0
Hart County,KY,21,21,21,0
Henderson County,KY,99,107,107,8
Henry County,KY,16,16,16,0
Hickman County,KY,5,5,5,0
Hopkins County,KY,220,220,220,0
Jackson County,KY,60,60,60,0
Jefferson County,KY,2220,2220,2220,0
Jessamine County,KY,55,57,57,2
Johnson County,KY,5,5,5,0
Kenton County,KY,535,541,547,6
Knott County,KY,4,4,4,0
Knox County,KY,8,8,8,0
Larue County,KY,7,7,7,0
Laurel County,KY,20,20,20,0
Lawrence County,KY,1,1,1,0
Lee County,KY,0,0,0,0
Leslie County,KY,6,6,6,0
Letcher County,KY,4,4,4,0
Lewis County,KY,7,7,7,0
Lincoln County,KY,8,8,8,0
Livingston County,KY,8,9,9,1
Logan County,KY,123,123,128,0
Lyon County,KY,14,14,14,0
McCracken County,KY,89,89,99,0
McCreary County,KY,13,13,13,0
McLean County,KY,21,21,21,0
Madison County,KY,47,47,47,0
Magoffin County,KY,2,2,2,0
Marion County,KY,18,19,20,1
Marshall County,KY,37,37,37,0
Martin County,KY,3,3,3,0
Mason County,KY,8,8,9,0
Meade County,KY,21,21,21,0
Menifee County,KY,8,10,10,2
Mercer County,KY,13,13,13,0
Metcalfe County,KY,4,4,4,0
Monroe County,KY,15,16,16,1
Montgomery County,KY,22,22,23,0
Morgan County,KY,1,1,1,0
Muhlenberg County,KY,445,445,507,0
Nelson County,KY,36,38,38,2
Nicholas County,KY,1,1,1,0
Ohio County,KY,129,137,142,8
Oldham County,KY,65,68,68,3
Owen County,KY,1,1,1,0
Owsley County,KY,2,2,2,0
Pendleton County,KY,7,8,8,1
Perry County,KY,19,19,19,0
Pike County,KY,28,28,28,0
Powell County,KY,1,1,1,0
Pulaski County,KY,55,56,56,1
Robertson County,KY,0,0,0,0
Rockcastle County,KY,13,13,13,0
Rowan County,KY,7,7,7,0
Russell County,KY,22,23,23,1
Scott County,KY,36,36,36,0
Shelby County,KY,107,107,107,0
Simpson County,KY,49,49,49,0
Spencer County,KY,17,17,20,0
Taylor County,KY,11,11,11,0
Todd County,KY,17,17,17,0
Trigg County,KY,9,10,10,1
Trimble County,KY,5,5,5,0
Union County,KY,10,10,10,0
Warren County,KY,940,940,966,0
Washington County,KY,6,6,6,0
Wayne County,KY,8,8,8,0
Webster County,KY,32,32,32,0
Whitley County,KY,13,13,13,0
Wolfe County,KY,1,1,1,0
Woodford County,KY,26,26,26,0
Acadia Parish,LA,360,360,360,0
Allen Parish,LA,181,181,181,0
Ascension Parish,LA,815,815,815,0
Assumption Parish,LA,242,242,248,0
Avoyelles Parish,LA,115,115,121,0
Beauregard Parish,LA,59,61,61,2
Bienville Parish,LA,143,143,143,0
Bossier Parish,LA,395,395,412,0
Caddo Parish,LA,2419,2425,2496,6
Calcasieu Parish,LA,570,589,589,19
Caldwell Parish,LA,52,52,52,0
Cameron Parish,LA,3,3,3,0
Catahoula Parish,LA,112,112,112,0
Claiborne Parish,LA,60,63,63,3
Concordia Parish,LA,74,80,80,6
De Soto Parish,LA,241,241,241,0
East Baton Rouge Parish,LA,3477,3486,3540,9
East Carroll Parish,LA,110,115,118,5
East Feliciana Parish,LA,188,193,193,5
Evangeline Parish,LA,76,76,76,0
Franklin Parish,LA,294,312,312,18
Grant Parish,LA,27,28,28,1
Iberia Parish,LA,392,401,407,9
Iberville Parish,LA,562,562,562,0
Jackson Parish,LA,97,99,99,2
Jefferson Parish,LA,7406,7406,7406,0
Jefferson Davis Parish,LA,74,74,74,0
Lafayette Parish,LA,686,691,691,5
Lafourche Parish,LA,772,772,772,0
La Salle Parish,LA,47,48,48,1
Lincoln Parish,LA,138,140,144,2
Livingston Parish,LA,397,405,407,8
Madison Parish,LA,70,77,78,7
Morehouse Parish,LA,119,122,122,3
Natchitoches Parish,LA,155,155,155,0
Orleans Parish,LA,6717,6717,7396,0
Ouachita Parish,LA,1118,1149,1167,31
Plaquemines Parish,LA,207,207,207,0
Pointe Coupee Parish,LA,188,190,194,2
Rapides Parish,LA,664,680,703,16
Red River Parish,LA,48,48,49,0
Richland Parish,LA,120,126,126,6
Sabine Parish,LA,40,41,41,1
St. Bernard Parish,LA,551,551,551,0
St. Charles Parish,LA,626,626,626,0
St. Helena Parish,LA,52,52,52,0
St. James Parish,LA,304,304,304,0
St. John the Baptist Parish,LA,841,841,841,0
St. Landry Parish,LA,249,253,253,4
St. Martin Parish,LA,292,292,292,0
St. Mary Parish,LA,305,305,305,0
St. Tammany Parish,LA,1715,1715,1715,0
Tangipahoa Parish,LA,798,836,836,38
Tensas Parish,LA,10,10,10,0
Terrebonne Parish,LA,643,643,654,0
Union Parish,LA,293,302,302,9
Vermilion Parish,LA,51,53,53,2
Vernon Parish,LA,24,24,25,0
Washington Parish,LA,395,408,411,13
Webster Parish,LA,141,141,143,0
West Baton Rouge Parish,LA,157,158,158,1
West Carroll Parish,LA,41,44,47,3
West Feliciana Parish,LA,202,202,202,0
Winn Parish,LA,137,137,137,0
Androscoggin County,ME,247,253,262,6
Aroostook County,ME,8,8,8,0
Cumberland County,ME,1058,1058,1058,0
Franklin County,ME,36,36,36,0
Hancock County,ME,11,11,11,0
Kennebec County,ME,132,132,132,0
Knox County,ME,20,20,20,0
Lincoln County,ME,20,20,20,0
Oxford County,ME,22,24,24,2
Penobscot County,ME,98,98,98,0
Piscataquis County,ME,1,1,1,0
Sagadahoc County,ME,28,29,30,1
Somerset County,ME,21,21,22,0
Waldo County,ME,50,50,50,0
Washington County,ME,2,2,2,0
York County,ME,358,364,369,6
Allegany County,MD,176,177,177,1
Anne Arundel County,MD,3409,3449,3571,40
Baltimore County,MD,5468,5599,5686,131
Calvert County,MD,307,314,319,7
Caroline County,MD,245,245,245,0
Carroll County,MD,807,822,845,15
Cecil County,MD,349,349,349,0
Charles County,MD,1013,1013,1031,0
Dorchester County,MD,130,131,138,1
Frederick County,MD,1741,1779,1820,38
Garrett County,MD,10,10,10,0
Harford County,MD,795,795,830,0
Howard County,MD,1723,1743,1822,20
Kent County,MD,158,159,165,1
Montgomery County,MD,10223,10479,10756,256
Prince George's County,MD,13819,14102,14414,283
Queen Anne's County,MD,151,151,152,0
St. Mary's County,MD,399,399,417,0
Somerset County,MD,73,73,73,0
Talbot County,MD,83,83,87,0
Washington County,MD,414,414,423,0
Wicomico County,MD,899,899,928,0
Worcester County,MD,193,193,198,0
Baltimore City,MD,4976,5059,5196,83
Barnstable County,MA,1288,1288,1297,0
Berkshire County,MA,539,539,539,0
Bristol County,MA,6748,6787,6851,39
Dukes County,MA,26,26,26,0
Essex County,MA,13733,13740,13873,7
Franklin County,MA,314,317,318,3
Hampden County,MA,5800,5849,5886,49
Hampshire County,MA,838,844,844,6
Middlesex County,MA,20611,20757,20829,146
Nantucket County,MA,13,13,13,0
Norfolk County,MA,7857,7881,7947,24
Plymouth County,MA,7608,7669,7711,61
Suffolk County,MA,17562,17562,17783,0
Worcester County,MA,10541,10657,10709,116
Alcona County,MI,11,12,14,1
Alger County,MI,0,0,0,0
Allegan County,MI,212,212,214,0
Alpena County,MI,96,96,96,0
Antrim County,MI,12,12,12,0
Arenac County,MI,33,33,33,0
Baraga County,MI,1,1,1,0
Barry County,MI,61,61,61,0
Bay County,MI,288,294,296,6
Benzie County,MI,4,4,4,0
Berrien County,MI,597,598,614,1
Branch County,MI,103,105,109,2
Calhoun County,MI,347,352,358,5
Cass County,MI,78,79,80,1
Charlevoix County,MI,15,15,15,0
Cheboygan County,MI,21,21,21,0
Chippewa County,MI,2,2,2,0
Clare County,MI,17,17,18,0
Clinton County,MI,142,142,142,0
Crawford County,MI,57,57,57,0
Delta County,MI,17,17,17,0
Dickinson County,MI,5,5,5,0
Eaton County,MI,177,177,183,0
Emmet County,MI,21,21,21,0
Genesee County,MI,1955,1955,1955,0
Gladwin County,MI,18,18,18,0
Gogebic County,MI,5,5,5,0
Grand Traverse County,MI,23,23,23,0
Gratiot County,MI,70,73,73,3
Hillsdale County,MI,171,171,171,0
Houghton County,MI,3,3,3,0
Huron County,MI,42,42,44,0
Ingham County,MI,705,717,728,12
Ionia County,MI,145,145,146,0
Iosco County,MI,84,89,89,5
Iron County,MI,0,0,0,0
Isabella County,MI,75,75,75,0
Jackson County,MI,437,437,444,0
Kalamazoo County,MI,804,810,821,6
Kalkaska County,MI,19,19,19,0
Kent County,MI,3398,3398,3539,0
Keweenaw County,MI,0,0,0,0
Lake County,MI,5,5,5,0
Lapeer County,MI,191,191,191,0
Leelanau County,MI,11,11,11,0
Lenawee County,MI,146,147,147,1
Livingston County,MI,397,397,397,0
Luce County,MI,3,3,3,0
Mackinac County,MI,6,6,8,0
Macomb County,MI,6476,6476,6476,0
Manistee County,MI,10,10,10,0
Marquette County,MI,54,54,54,0
Mason County,MI,31,31,31,0
Mecosta County,MI,19,20,20,1
Menominee County,MI,8,8,8,0
Midland County,MI,80,80,81,0
Missaukee County,MI,16,16,16,0
Monroe County,MI,460,460,475,0
Montcalm County,MI,65,65,65,0
Montmorency County,MI,5,5,5,0
Muskegon County,MI,604,606,620,2
Newaygo County,MI,92,97,101,5
Oakland County,MI,8257,8257,8257,0
Oceana County,MI,85,85,85,0
Ogemaw County,MI,20,21,21,1
Ontonagon County,MI,0,0,0,0
Osceola County,MI,10,11,11,1
Oscoda County,MI,5,5,5,0
Otsego County,MI,100,100,100,0
Ottawa County,MI,717,717,748,0
Presque Isle County,MI,11,11,11,0
Roscommon County,MI,21,21,21,0
Saginaw County,MI,998,1002,1007,4
St. Clair County,MI,429,429,438,0
St. Joseph County,MI,104,109,110,5
Sanilac County,MI,39,39,39,0
Schoolcraft County,MI,4,4,4,0
Shiawassee County,MI,235,235,239,0
Tuscola County,MI,184,184,184,0
Van Buren County,MI,126,131,133,5
Washtenaw County,MI,1270,1339,1339,69
Wayne County,MI,19778,19778,20246,0
Wexford County,MI,11,11,11,0
Aitkin County,MN,7,7,7,0
Anoka County,MN,1239,1266,1289,27
Becker County,MN,36,36,36,0
Beltrami County,MN,12,13,14,1
Benton County,MN,164,171,173,7
Big Stone County,MN,3,3,4,0
Blue Earth County,MN,118,122,126,4
Brown County,MN,13,14,14,1
Carlton County,MN,73,73,73,0
Carver County,MN,182,186,192,4
Cass County,MN,11,12,12,1
Chippewa County,MN,43,43,43,0
Chisago County,MN,49,50,54,1
Clay County,MN,387,401,413,14
Clearwater County,MN,3,3,3,0
Cook County,MN,0,0,0,0
Cottonwood County,MN,66,66,68,0
Crow Wing County,MN,56,57,60,1
Dakota County,MN,1153,1185,1185,32
Dodge County,MN,47,47,47,0
Douglas County,MN,31,36,36,5
Faribault County,MN,13,13,13,0
Fillmore County,MN,17,17,17,0
Freeborn County,MN,96,96,103,0
Goodhue County,MN,58,60,60,2
Grant County,MN,3,3,3,0
Hennepin County,MN,7444,7569,7680,125
Houston County,MN,2,2,2,0
Hubbard County,MN,1,1,1,0
Isanti County,MN,30,32,32,2
Itasca County,MN,53,53,53,0
Jackson County,MN,39,39,39,0
Kanabec County,MN,11,11,11,0
Kandiyohi County,MN,471,473,473,2
Kittson County,MN,1,1,1,0
Koochiching County,MN,6,7,7,1
Lac Qui Parle County,MN,3,3,3,0
Lake County,MN,1,1,1,0
Lake of the Woods County,MN,0,0,0,0
Le Sueur County,MN,41,43,43,2
Lincoln County,MN,5,5,5,0
Lyon County,MN,36,36,38,0
McLeod County,MN,28,29,30,1
Mahnomen County,MN,5,5,5,0
Marshall County,MN,9,9,9,0
Martin County,MN,122,122,122,0
Meeker County,MN,41,44,44,3
Mille Lacs County,MN,17,17,19,0
Morrison County,MN,39,40,41,1
Mower County,MN,205,215,231,10
Murray County,MN,36,36,36,0
Nicollet County,MN,71,74,81,3
Nobles County,MN,1475,1475,1508,0
Norman County,MN,11,11,11,0
Olmsted County,MN,568,579,581,11
Otter Tail County,MN,59,62,63,3
Pennington County,MN,12,12,12,0
Pine County,MN,85,85,91,0
Pipestone County,MN,10,10,10,0
Polk County,MN,59,59,59,0
Pope County,MN,8,8,8,0
Ramsey County,MN,2561,2611,2649,50
Red Lake County,MN,3,4,4,1
Redwood County,MN,3,3,4,0
Renville County,MN,5,5,5,0
Rice County,MN,391,411,423,20
Rock County,MN,21,21,22,0
Roseau County,MN,1,1,1,0
St. Louis County,MN,114,115,117,1
Scott County,MN,375,379,381,4
Sherburne County,MN,212,224,224,12
Sibley County,MN,13,13,15,0
Stearns County,MN,1958,1965,1965,7
Steele County,MN,143,148,149,5
Stevens County,MN,0,0,0,0
Swift County,MN,16,17,17,1
Todd County,MN,219,256,256,37
Traverse County,MN,3,3,3,0
Wabasha County,MN,17,17,17,0
Wadena County,MN,8,8,8,0
Waseca County,MN,24,24,25,0
Washington County,MN,555,562,571,7
Watonwan County,MN,58,59,64,1
Wilkin County,MN,11,11,11,0
Winona County,MN,78,78,78,0
Wright County,MN,264,269,277,5
Yellow Medicine County,MN,6,6,6,0
Adams County,MS,189,190,190,1
Alcorn County,MS,14,14,14,0
Amite County,MS,53,56,56,3
Attala County,MS,277,277,277,0
Benton County,MS,14,14,15,0
Bolivar County,MS,146,148,154,2
Calhoun County,MS,60,62,63,2
Carroll County,MS,111,111,118,0
Chickasaw County,MS,127,127,130,0
Choctaw County,MS,33,34,34,1
Claiborne County,MS,58,62,66,4
Clarke County,MS,135,135,137,0
Clay County,MS,101,104,109,3
Coahoma County,MS,108,113,113,5
Copiah County,MS,282,286,291,4
Covington County,MS,141,141,145,0
DeSoto County,MS,486,495,503,9
Forrest County,MS,502,514,524,12
Franklin County,MS,27,27,28,0
George County,MS,20,20,21,0
Greene County,MS,8,9,9,1
Grenada County,MS,78,83,85,5
Hancock County,MS,88,88,88,0
Harrison County,MS,237,246,246,9
Hinds County,MS,903,920,963,17
Holmes County,MS,371,371,385,0
Humphreys County,MS,52,52,58,0
Issaquena County,MS,0,0,0,0
Itawamba County,MS,84,84,84,0
Jackson County,MS,295,301,301,6
Jasper County,MS,146,146,151,0
Jefferson County,MS,39,39,39,0
Jefferson Davis County,MS,73,75,77,2
Jones County,MS,511,524,537,13
Kemper County,MS,131,131,136,0
Lafayette County,MS,125,125,129,0
Lamar County,MS,222,227,230,5
Lauderdale County,MS,691,696,714,5
Lawrence County,MS,97,99,103,2
Leake County,MS,392,394,399,2
Lee County,MS,114,114,114,0
Leflore County,MS,247,250,250,3
Lincoln County,MS,248,248,248,0
Lowndes County,MS,166,177,177,11
Madison County,MS,680,687,691,7
Marion County,MS,111,112,114,1
Marshall County,MS,70,76,77,6
Monroe County,MS,248,252,252,4
Montgomery County,MS,80,80,80,0
Neshoba County,MS,540,575,575,35
Newton County,MS,231,247,259,16
Noxubee County,MS,167,170,172,3
Oktibbeha County,MS,144,150,156,6
Panola County,MS,63,63,63,0
Pearl River County,MS,205,206,206,1
Perry County,MS,49,49,50,0
Pike County,MS,203,203,203,0
Pontotoc County,MS,26,28,29,2
Prentiss County,MS,40,41,41,1
Quitman County,MS,24,25,25,1
Rankin County,MS,361,369,384,8
Scott County,MS,597,623,630,26
Sharkey County,MS,7,7,7,0
Simpson County,MS,90,94,96,4
Smith County,MS,133,133,143,0
Stone County,MS,30,30,30,0
Sunflower County,MS,77,77,77,0
Tallahatchie County,MS,24,25,27,1
Tate County,MS,63,69,69,6
Tippah County,MS,70,70,70,0
Tishomingo County,MS,26,26,28,0
Tunica County,MS,49,52,52,3
Union County,MS,74,77,80,3
Walthall County,MS,50,51,52,1
Warren County,MS,158,158,158,0
Washington County,MS,155,165,165,10
Wayne County,MS,128,147,155,19
Webster County,MS,35,35,35,0
Wilkinson County,MS,86,86,86,0
Winston County,MS,102,106,106,4
Yalobusha County,MS,83,83,83,0
Yazoo County,MS,220,224,226,4
Adair County,MO,45,45,48,0
Andrew County,MO,24,27,27,3
Atchison County,MO,3,3,3,0
Audrain County,MO,56,67,72,11
Barry County,MO,9,9,9,0
Barton County,MO,0,0,0,0
Bates County,MO,7,7,7,0
Benton County,MO,10,10,10,0
Bollinger County,MO,6,6,6,0
Boone County,MO,122,130,136,8
Buchanan County,MO,653,656,656,3
Butler County,MO,28,28,29,0
Caldwell County,MO,5,5,5,0
Callaway County,MO,26,26,27,0
Camden County,MO,37,37,37,0
Cape Girardeau County,MO,64,68,68,4
Carroll County,MO,7,7,8,0
Carter County,MO,5,5,5,0
Cass County,MO,82,82,84,0
Cedar County,MO,9,9,9,0
Chariton County,MO,5,6,6,1
Christian County,MO,20,20,20,0
Clark County,MO,1,1,1,0
Clay County,MO,149,158,161,9
Clinton County,MO,18,18,18,0
Cole County,MO,61,61,61,0
Cooper County,MO,9,9,9,0
Crawford County,MO,8,8,8,0
Dade County,MO,0,0,0,0
Dallas County,MO,2,2,3,0
Daviess County,MO,4,4,4,0
DeKalb County,MO,6,6,6,0
Dent County,MO,1,1,1,0
Douglas County,MO,0,0,0,0
Dunklin County,MO,30,31,32,1
Franklin County,MO,135,135,135,0
Gasconade County,MO,2,2,2,0
Gentry County,MO,19,21,25,2
Greene County,MO,119,119,122,0
Grundy County,MO,2,2,2,0
Harrison County,MO,8,8,9,0
Henry County,MO,10,10,10,0
Hickory County,MO,0,0,0,0
Holt County,MO,1,1,1,0
Howard County,MO,3,3,3,0
Howell County,MO,5,5,6,0
Iron County,MO,2,2,2,0
Jackson County (including other portions of Kansas City),MO,1611,1627,1663,16
Jasper County,MO,31,34,34,3
Jefferson County,MO,322,331,331,9
Johnson County,MO,73,73,74,0
Knox County,MO,0,0,0,0
Laclede County,MO,3,3,3,0
Lafayette County,MO,70,70,75,0
Lawrence County,MO,7,7,7,0
Lewis County,MO,7,7,7,0
Lincoln County,MO,81,81,81,0
Linn County,MO,6,6,6,0
Livingston County,MO,3,3,3,0
McDonald County,MO,17,18,19,1
Macon County,MO,2,2,3,0
Madison County,MO,3,3,3,0
Maries County,MO,2,2,2,0
Marion County,MO,5,5,5,0
Mercer County,MO,0,0,0,0
Miller County,MO,4,4,4,0
Mississippi County,MO,54,54,54,0
Moniteau County,MO,47,47,47,0
Monroe County,MO,0,0,0,0
Montgomery County,MO,8,8,9,0
Morgan County,MO,9,9,9,0
New Madrid County,MO,17,17,19,0
Newton County,MO,16,16,16,0
Nodaway County,MO,9,9,9,0
Oregon County,MO,2,2,2,0
Osage County,MO,5,5,5,0
Ozark County,MO,0,0,0,0
Pemiscot County,MO,76,76,76,0
Perry County,MO,48,48,48,0
Pettis County,MO,70,71,73,1
Phelps County,MO,4,4,4,0
Pike County,MO,15,15,17,0
Platte County,MO,66,68,69,2
Polk County,MO,2,2,2,0
Pulaski County,MO,34,34,34,0
Putnam County,MO,0,0,0,0
Ralls County,MO,3,3,3,0
Randolph County,MO,10,10,10,0
Ray County,MO,18,18,18,0
Reynolds County,MO,2,2,2,0
Ripley County,MO,7,7,7,0
St. Charles County,MO,752,756,756,4
St. Clair County,MO,2,2,2,0
Ste. Genevieve County,MO,9,9,9,0
St. Francois County,MO,32,32,33,0
St. Louis County,MO,4599,4651,4688,52
Saline County,MO,269,269,269,0
Schuyler County,MO,1,1,1,0
Scotland County,MO,4,4,4,0
Scott County,MO,94,94,99,0
Shannon County,MO,0,0,0,0
Shelby County,MO,1,1,1,0
Stoddard County,MO,75,75,75,0
